Location,Race/Ethnicity,TimeFrame,DataFormat,Data
Bronx,Asian and Pacific Islander,2021,Number,54367
Brooklyn,Asian and Pacific Islander,2021,Number,319822
Manhattan,Asian and Pacific Islander,2021,Number,197973
Queens,Asian and Pacific Islander,2021,Number,613178
Staten Island,Asian and Pacific Islander,2021,Number,51101
Bronx,Black,2021,Number,418083
Brooklyn,Black,2021,Number,776581
Manhattan,Black,2021,Number,202584
Queens,Black,2021,Number,402236
Staten Island,Black,2021,Number,44849
Bronx,Hispanic or Latino,2021,Number,824402
Brooklyn,Hispanic or Latino,2021,Number,509527
Manhattan,Hispanic or Latino,2021,Number,428057
Queens,Hispanic or Latino,2021,Number,668079
Staten Island,Hispanic or Latino,2021,Number,90957
Bronx,White,2021,Number,131851
Brooklyn,White,2021,Number,996334
Manhattan,White,2021,Number,779876
Queens,White,2021,Number,588147
Staten Island,White,2021,Number,294138
Bronx,Combination or Another Race,2021,Number,39559
Brooklyn,Combination or Another Race,2021,Number,110096
Manhattan,Combination or Another Race,2021,Number,60637
Queens,Combination or Another Race,2021,Number,121464
Staten Island,Combination or Another Race,2021,Number,12149
Bronx,Native American,2021,Number,3250
Brooklyn,Native American,2021,Number,3368
Manhattan,Native American,2021,Number,1798
Queens,Native American,2021,Number,6422
Staten Island,Native American,2021,Number,672
Bronx,Asian and Pacific Islander,2021,Percent,0.03703
Brooklyn,Asian and Pacific Islander,2021,Percent,0.11791
Manhattan,Asian and Pacific Islander,2021,Percent,0.11861
Queens,Asian and Pacific Islander,2021,Percent,0.25623
Staten Island,Asian and Pacific Islander,2021,Percent,0.10361
Bronx,Black,2021,Percent,0.28475
Brooklyn,Black,2021,Percent,0.28631
Manhattan,Black,2021,Percent,0.12137
Queens,Black,2021,Percent,0.16808
Staten Island,Black,2021,Percent,0.09094
Bronx,Hispanic or Latino,2021,Percent,0.56148
Brooklyn,Hispanic or Latino,2021,Percent,0.18785
Manhattan,Hispanic or Latino,2021,Percent,0.25646
Queens,Hispanic or Latino,2021,Percent,0.27917
Staten Island,Hispanic or Latino,2021,Percent,0.18442
Bronx,White,2021,Percent,0.0898
Brooklyn,White,2021,Percent,0.36733
Manhattan,White,2021,Percent,0.46724
Queens,White,2021,Percent,0.24577
Staten Island,White,2021,Percent,0.59639
Bronx,Combination or Another Race,2021,Percent,0.02694
Brooklyn,Combination or Another Race,2021,Percent,0.04059
Manhattan,Combination or Another Race,2021,Percent,0.03633
Queens,Combination or Another Race,2021,Percent,0.05076
Staten Island,Combination or Another Race,2021,Percent,0.02463
Bronx,Native American,2021,Percent,0.00136
Brooklyn,Native American,2021,Percent,0.00178
Manhattan,Native American,2021,Percent,0
Queens,Native American,2021,Percent,0
Staten Island,Native American,2021,Percent,0
Bronx,Asian and Pacific Islander,2016,Number,51879
Brooklyn,Asian and Pacific Islander,2016,Number,302765
Manhattan,Asian and Pacific Islander,2016,Number,191352
Queens,Asian and Pacific Islander,2016,Number,569743
Staten Island,Asian and Pacific Islander,2016,Number,37776
Bronx,Black,2016,Number,423684
Brooklyn,Black,2016,Number,806316
Manhattan,Black,2016,Number,206008
Queens,Black,2016,Number,398786
Staten Island,Black,2016,Number,44570
Bronx,Hispanic or Latino,2016,Number,796193
Brooklyn,Hispanic or Latino,2016,Number,506102
Manhattan,Hispanic or Latino,2016,Number,423526
Queens,Hispanic or Latino,2016,Number,647005
Staten Island,Hispanic or Latino,2016,Number,85119
Bronx,White,2016,Number,137901
Brooklyn,White,2016,Number,933985
Manhattan,White,2016,Number,769598
Queens,White,2016,Number,592151
Staten Island,White,2016,Number,296338
Bronx,Combination or Another Race,2016,Number,24045
Brooklyn,Combination or Another Race,2016,Number,53680
Manhattan,Combination or Another Race,2016,Number,42416
Queens,Combination or Another Race,2016,Number,97339
Staten Island,Combination or Another Race,2016,Number,8958
Bronx,Native American,2016,Number,3083
Brooklyn,Native American,2016,Number,4004
Manhattan,Native American,2016,Number,2089
Queens,Native American,2016,Number,4987
Staten Island,Native American,2016,Number,563
Bronx,Asian and Pacific Islander,2016,Percent,0.03611
Brooklyn,Asian and Pacific Islander,2016,Percent,0.11614
Manhattan,Asian and Pacific Islander,2016,Percent,0.11704
Queens,Asian and Pacific Islander,2016,Percent,0.24664
Staten Island,Asian and Pacific Islander,2016,Percent,0.07981
Bronx,Black,2016,Percent,0.29488
Brooklyn,Black,2016,Percent,0.30931
Manhattan,Black,2016,Percent,0.126
Queens,Black,2016,Percent,0.17263
Staten Island,Black,2016,Percent,0.09416
Bronx,Hispanic or Latino,2016,Percent,0.55415
Brooklyn,Hispanic or Latino,2016,Percent,0.19414
Manhattan,Hispanic or Latino,2016,Percent,0.25904
Queens,Hispanic or Latino,2016,Percent,0.28009
Staten Island,Hispanic or Latino,2016,Percent,0.17983
Bronx,White,2016,Percent,0.09598
Brooklyn,White,2016,Percent,0.35828
