name,review_count,categories,rating,address,zipcode,display_phone,latitude,longitude,borough
Planet Fitness,107,"Gyms, Trainers",2.1,"215 W 35th St, New York, NY 10001",10001,(646) 518-0330,40.75185762303036,-73.99105637776087,Manhattan
Blink Fitness - Chelsea,143,"Gyms, Trainers",3.1,"308 8th Ave, New York, NY 10001",10001,(646) 560-4010,40.746816,-73.997144,Manhattan
Crunch Fitness - 38th Street,163,"Gyms, Trainers, Yoga",3.3,"1385 Broadway, New York, NY 10018",10018,(212) 869-7788,40.75276711,-73.98770396,Manhattan
Chelsea Piers Fitness,212,"Gyms, Swimming Pools, Yoga",4.1,"60 Chelsea Piers, New York, NY 10011",10011,(212) 336-6000,40.746629493332875,-74.01006942010173,Manhattan
Mercedes Club,177,"Gyms, Swimming Lessons/Schools",4.1,"550 W 54th St, New York, NY 10019",10019,(212) 265-1111,40.76768,-73.99149,Manhattan
The Wright Fit,2,Gyms,4.0,"525 West 26th St, Fl 4, New York, NY 10001",10001,(646) 688-5488,40.7502999,-74.0038937,Manhattan
SportsLab NYC,12,Trainers,4.7,"295 Madison Ave, New York, NY 10017",10017,(212) 764-0270,40.751760438830566,-73.97942770946678,Manhattan
Arrive,28,"Gyms, Pilates, Trainers",4.8,"129 West 29th St, Second Floor, New York, NY 10001",10001,(646) 755-8125,40.747391,-73.991226,Manhattan
Mark Fisher Fitness,109,"Trainers, Gyms",4.9,"411 W 39th St, New York, NY 10018",10018,(917) 382-8242,40.756995,-73.994554,Manhattan
Planet Fitness,161,"Gyms, Trainers",2.8,"158 W 27th St, New York, NY 10001",10001,(212) 268-2501,40.74623687175008,-73.99329502038685,Manhattan
Boss NYC,6,"Trainers, Gyms, Physical Therapy",4.3,"221 W 37th St, Fl 4, New York, NY 10018",10018,(646) 912-9131,40.753547668457,-73.9901809692383,Manhattan
Chelsea Piers Fitness,4,"Gyms, Gymnastics, Yoga",4.8,"308 Park Ave S, New York, NY 10010",10010,(212) 609-3200,40.73910159305324,-73.98624490116839,Manhattan
The Training Lab,92,Gyms,4.9,"54 W 39th St, Fl 9, New York, NY 10018",10018,(212) 736-5400,40.752396,-73.98477059999999,Manhattan
Equinox Hudson Yards,84,"Gyms, Day Spas, Sports Clubs",3.3,"32 Hudson Yards, New York, NY 10001",10001,(212) 328-9050,40.7557943458375,-74.0036536,Manhattan
Mid City Gym & Tanning,218,"Gyms, Boxing",3.8,"345 W 42nd St, New York, NY 10036",10036,(212) 757-0850,40.75817,-73.99158,Manhattan
New York Sports Club,14,Gyms,3.2,"633 3rd Ave, New York, NY 10017",10017,(212) 661-8500,40.74984,-73.97484,Manhattan
Life Time,29,Gyms,2.8,"60 W 23rd St, New York, NY 10010",10010,(212) 381-8900,40.74238,-73.99237,Manhattan
New York Sports Club,24,Gyms,3.0,"128 8th Ave, New York, NY 10011",10011,(212) 627-0065,40.7412950308674,-74.00123,Manhattan
Tone House,175,"Gyms, Trainers",4.6,"32 E 31st St, New York, NY 10016",10016,(646) 453-6633,40.74551,-73.98375,Manhattan
Life Time,7,"Gyms, Trainers, Yoga",3.0,"110 W 56th St, New York, NY 10019",10019,(212) 547-4800,40.76489,-73.97812,Manhattan
Crunch Fitness - Chelsea,162,"Gyms, Trainers",3.5,"220 W 19th St, New York, NY 10011",10011,(212) 370-0998,40.74189250927088,-73.9985166,Manhattan
TrainStation NYC,2,"Trainers, Gyms",5.0,"49 W 24th St, Fl 2, New York, NY 10010",10010,(917) 409-3664,40.74337,-73.99153,Manhattan
Encore Fitness,18,"Trainers, Gyms",4.9,"137 5th Ave, #10r, New York, NY 10010",10010,(845) 853-3166,40.7398373481236,-73.9851167052984,Manhattan
