name,review_count,categories,rating,transactions,address,zipcode,display_phone,price,latitude,longitude,borough
Bourbon and Branch,153,"Bars, Venues & Event Spaces, American",4.5,[],"155 W 33rd St, New York, NY 10001",10001,(929) 419-4951,,40.75030160000001,-73.9904585,Manhattan
Anytime Kitchen ,3089,"Korean, Tapas/Small Plates, Barbeque",4.6,"['pickup', 'delivery']","23 W 32nd St, Fl 3, New York, NY 10001",10001,(646) 669-7733,$$,40.74776270790539,-73.9867793576711,Manhattan
Zou Zou’s,438,"Mediterranean, Cocktail Bars, New American",4.2,[],"385 9th Ave, Ste 85, New York, NY 10001",10001,(212) 380-8585,$$$,40.75294111375021,-73.99872428597398,Manhattan
Ci Siamo,618,"Italian, Bars, Pizza",4.4,[],"440 West 33rd St, Ste 100, New York, NY 10001",10001,(212) 219-6559,$$$,40.75240549384363,-73.9982864846782,Manhattan
Nittis,432,"Italian, Cocktail Bars, Breakfast & Brunch",4.3,"['delivery', 'pickup']","523 9th Ave, New York, NY 10018",10018,(212) 517-0939,$$,40.7567,-73.99411,Manhattan
Alligator Pear,229,"Cocktail Bars, New American",4.2,[],"150 W 30th St, New York, NY 10001",10001,(646) 868-7884,,40.74814,-73.99191,Manhattan
Calle Dao Chelsea,1151,"Cuban, Chinese, Asian Fusion",4.5,"['delivery', 'pickup']","461 W 23rd St, New York, NY 10011",10011,(212) 414-4104,$$,40.74765439999999,-74.00352547055276,Manhattan
Tavola,1521,"Italian, Pizza, Wine Bars",4.1,"['restaurant_reservation', 'pickup', 'delivery']","488 9th Ave, New York, NY 10018",10018,(212) 273-1181,$$$,40.755403,-73.994516,Manhattan
Chi Restaurant & Bar,349,"Szechuan, Cocktail Bars",4.6,"['restaurant_reservation', 'pickup', 'delivery']","492 9th Ave, New York, NY 10018",10018,(212) 918-1470,$$,40.75547,-73.99439,Manhattan
Friedman's,3171,"New American, Breakfast & Brunch, Wine Bars",4.0,"['delivery', 'pickup']","132 W 31st St, New York, NY 10001",10001,(212) 971-9400,$$,40.748298,-73.990737,Manhattan
Izakaya MEW,3110,"Tapas Bars, Sushi Bars, Izakaya",4.3,"['delivery', 'pickup']","53 W 35th St, New York, NY 10001",10001,(646) 368-9384,$$,40.750148,-73.9863203465939,Manhattan
Bar Primi Penn District,98,"Italian, Bars, Pizza",4.2,"['delivery', 'pickup']","349 W 33rd St, New York, NY 10001",10001,(212) 233-6100,,40.7524583,-73.9954517,Manhattan
Haymaker Bar and Kitchen,429,"Gastropubs, Beer Bar, Breakfast & Brunch",3.9,"['delivery', 'restaurant_reservation', 'pickup']","252 W 29th St, New York, NY 10001",10001,(646) 429-8237,$$,40.7487508496393,-73.995229748466,Manhattan
The Rutherford,17,"Cocktail Bars, American, Pizza",3.6,[],"W 33rd St & 8th Ave, New York, NY 10119",10119,(212) 629-7070,,40.75147002292612,-73.99350261924513,
Altair NYC,101,New American,4.7,[],"351 W 38th St, New York, NY 10018",10018,(212) 343-7000,,40.755718,-73.99373,Manhattan
Osamil,827,"Korean, Gastropubs, Tapas/Small Plates",4.3,['delivery'],"5 West 31st St, New York, NY 10001",10001,(212) 300-4713,$$$,40.74697,-73.9864,Manhattan
Russ & Daughters,156,"Bagels, Bakeries, Seafood",4.4,[],"502 W 34th St, New York, NY 10001",10001,(212) 475-4880,$$,40.7544987,-73.9995268,Manhattan
Shukette,521,Middle Eastern,4.4,['delivery'],"230 9th Ave, New York, NY 10001",10001,(212) 242-1803,$$$$,40.74745,-74.00041,Manhattan
Steak Frites Bistro,181,"Steakhouses, Wine Bars, French",4.5,[],"496 9th Ave, New York, NY 10018",10018,(929) 614-5070,$$$,40.75559939381978,-73.994415672668,Manhattan
The Parlour Room,179,"Cocktail Bars, Seafood, Tapas/Small Plates",4.3,"['delivery', 'pickup']","70 W 36th St, 1A, New York, NY 10018",10018,(917) 261-5495,$$,40.75066199820444,-73.986111391996,Manhattan
Kame,896,"Ramen, Japanese Curry, Salad",4.5,"['delivery', 'pickup']","330 8th Ave, New York, NY 10001",10001,(917) 391-8587,$$,40.7474881059799,-73.996648862958,Manhattan
