name,tag_type,Service_Tags
Planet Fitness,tag1,Gyms
Blink Fitness - Chelsea,tag1,Gyms
Crunch Fitness - 38th Street,tag1,Gyms
Chelsea Piers Fitness,tag1,Gyms
Mercedes Club,tag1,Gyms
The Wright Fit,tag1,Gyms
SportsLab NYC,tag1,Trainers
Arrive,tag1,Gyms
Mark Fisher Fitness,tag1,Trainers
Planet Fitness,tag1,Gyms
Boss NYC,tag1,Trainers
Chelsea Piers Fitness,tag1,Gyms
The Training Lab,tag1,Gyms
Equinox Hudson Yards,tag1,Gyms
Mid City Gym & Tanning,tag1,Gyms
New York Sports Club,tag1,Gyms
Life Time,tag1,Gyms
New York Sports Club,tag1,Gyms
Tone House,tag1,Gyms
Life Time,tag1,Gyms
Crunch Fitness - Chelsea,tag1,Gyms
TrainStation NYC,tag1,Trainers
Encore Fitness,tag1,Trainers
Life Time,tag1,Sports Clubs
Orangetheory Fitness Midtown West,tag1,Boot Camps
New York Sports Club,tag1,Gyms
Manhattan Plaza Health Club,tag1,Trainers
CrossFit Hell's Kitchen,tag1,Interval Training Gyms
Planet Fitness,tag1,Gyms
Solace,tag1,Gyms
New York Sports Club,tag1,Gyms
Crunch Fitness - 54th Street,tag1,Trainers
Blink Fitness - Bryant Park,tag1,Gyms
Gym U Nyc,tag1,Gyms
Naked in Motion,tag1,Yoga
Fluid Fitness,tag1,Fitness & Instruction
New York Athletic Club,tag1,Sports Clubs
Crunch Fitness - 34th Street,tag1,Trainers
TITLE Boxing Club,tag1,Trainers
YMCA of Greater N Y,tag1,Gyms
Equinox West 50th Street,tag1,Gyms
Beyond Pilates,tag1,Pilates
Athletic and Swim Club,tag1,Swimming Pools
TMPL - Hell's Kitchen,tag1,Gyms
Row House Fitness Chelsea,tag1,Cardio Classes
Crux Time,tag1,Trainers
The Fort,tag1,Gyms
Crunch Fitness - Midtown East,tag1,Trainers
Equinox,tag1,Gyms
TMPL - West Village,tag1,Gyms
TMPL - Avenue A,tag1,Gyms
GYM NYC,tag1,Gyms
Gym Nyc E 3rd St,tag1,Gyms
Manny Cantor Fitness,tag1,Gyms
CONBODY,tag1,Trainers
WillyB CrossFit - Bowery,tag1,Interval Training Gyms
F45 Training Lower East Side,tag1,Interval Training Gyms
Equinox Orchard Street,tag1,Gyms
SoHo Strength Lab,tag1,Trainers
PingPod,tag1,Sports Clubs
Chinatown Flow,tag1,Gyms
Blink Fitness - East Village,tag1,Gyms
Life Time,tag1,Gyms
Crunch Fitness - Bowery,tag1,Gyms
Manny Cantor Center,tag1,Preschools
TMPL - West Village,tag1,Gyms
Planet Fitness,tag1,Gyms
305 Fitness,tag1,Cardio Classes
Blink Fitness - FiDi,tag1,Gyms
RS Strength,tag1,Gyms
Equinox SoHo,tag1,Gyms
Crunch Fitness - Union Square,tag1,Gyms
14th Street Y,tag1,Gyms
Liftonic,tag1,Gyms
Gleason's Gym,tag1,Gyms
Great Jones Fitness,tag1,Gyms
Crunch Fitness - Tribeca,tag1,Gyms
Two Bridges Muay Thai,tag1,Muay Thai
Workshop NYC,tag1,Muay Thai
Dogpound,tag1,Trainers
StuyFitness on 20th,tag1,Sports Clubs
Planet Fitness,tag1,Gyms
Cordell Fitness,tag1,Gyms
Nimble Fitness,tag1,Gyms
StuyFitness on 14th,tag1,Gyms
Chinatown Branch YMCA,tag1,Gyms
Stanton Street Yoga,tag1,Yoga
NYU Athletics,tag1,Sports Clubs
Equinox Dumbo,tag1,Gyms
Gotham Gym,tag1,Gyms
Blink Fitness - Noho,tag1,Gyms
Hit House,tag1,Muay Thai
Alex Strong Fitness Coach,tag1,Trainers
Equinox Bond Street,tag1,Gyms
[solidcore],tag1,Pilates
Grind House,tag1,Gyms
Fox Box Boxing,tag1,Boxing
Krank Brooklyn,tag1,Weight Loss Centers
Tremble,tag1,Gyms
The Trinity Boxing Club,tag1,Boxing
Life Time,tag1,Gyms
Crunch Fitness - Union Square,tag1,Gyms
Crunch Fitness - Bowery,tag1,Gyms
GYM NYC,tag1,Gyms
Nimble Fitness,tag1,Gyms
305 Fitness,tag1,Cardio Classes
14th Street Y,tag1,Gyms
Planet Fitness,tag1,Gyms
Great Jones Fitness,tag1,Gyms
Orangetheory Fitness,tag1,Trainers
Blink Fitness - Noho,tag1,Gyms
TMPL - Avenue A,tag1,Gyms
NYU Athletics,tag1,Sports Clubs
Encore Fitness,tag1,Trainers
New York Sports Club,tag1,Gyms
TMPL - Astor Place,tag1,Gyms
Chelsea Piers Fitness,tag1,Gyms
New York Sports Club,tag1,Gyms
Chelsea Piers Fitness,tag1,Gyms
CrossFit Union Square,tag1,Interval Training Gyms
Crunch Fitness - 34th Street,tag1,Trainers
Palladium Athletic Facility,tag1,Gyms
Hanson Fitness,tag1,Trainers
Equinox Bond Street,tag1,Gyms
Gym Nyc E 3rd St,tag1,Gyms
Blink Fitness - East Village,tag1,Gyms
TMPL - West Village,tag1,Gyms
Body Evolution,tag1,Yoga
Equinox,tag1,Gyms
RFX Studios Gramercy,tag1,Gyms
Mile High Run Club,tag1,Trainers
F45 Training Union Square,tag1,Circuit Training Gyms
"HOTWORX - New York, NY - Greenwich Village",tag1,Yoga
Equinox SoHo,tag1,Gyms
Barry's NoHo,tag1,Boot Camps
