name,Lookup,
Bourbon and Branch,Bourbon And Branch,
Anytime Kitchen ,NF,
Zou Zou’s,NF,
Ci Siamo,Ci Siamo,
Nittis,Nittis,
Alligator Pear,Alligator Pear,
Calle Dao Chelsea,Calle Dao Chelsea,
Tavola,Tavola,
Chi Restaurant & Bar,Chi Restaurant & Bar,
Friedman's,Friedman'S,
Izakaya MEW,NF,
Bar Primi Penn District,NF,
Haymaker Bar and Kitchen,NF,
The Rutherford,NF,
Altair NYC,NF,
Osamil,Osamil,
Russ & Daughters,NF,
Shukette,NF,
Steak Frites Bistro,Steak Frites Bistro,
The Parlour Room,The Parlour Room,
Kame,Kame,
Friedmans,Friedmans,
Obao,Obao,
The Tailor Public House,The Tailor Public House,
VERSA,Versa,
Witch Topokki Manhattan,NF,
Midnight by Navarro's,NF,
Goldie’s Tavern,NF,
Maggie Reillys Restaurant,NF,
Bea,Bea,
Gurumé,NF,
Jajaja Mexicana,Jajaja Mexicana,
Juniper Bar,NF,
The Ragtrader & Bo Peep Cocktail and Highball Store,NF,
Blue Ribbon Sushi & Steak,NF,
Moynihan Food Hall,NF,
7th Street Burger - Times Square,NF,
Peak,NF,
Whitmans Hudson Yards,NF,
In Common NYC,NF,
Best Bagel & Coffee,NF,
Her Name Is Han,Her Name Is Han,
Zoob Zib Thai Authentic Noodle Bar,NF,
Alessa Cucina & Bar,NF,
Kahlo,Kahlo,
Boqueria W40th,NF,
Shanghai time,Shanghai Time,
Jack Doyle's Bar & Restaurant,NF,
Zizi,Zizi,
Suram NYC,NF,
Ye's Apothecary 夜莺,NF,Ye'S Apothecary �򑎺
Toriya,Toriya,
The Mayfly,The Mayfly,
La Contenta Les,La Contenta Les,
Kalye- Broome,NF,
Pretty Ricky’s,NF,
The Cabin NYC,NF,
Excuse My French,Excuse My French,
Les Enfants de Boheme,Les Enfants De Boheme,
Betty,Betty,
Rebel Restaurant and Bar,NF,
Sae Ron,Sae Ron,
Wayla,Wayla,
The Orchard Room,NF,
Izakaya Ronin,NF,
8282,NF,
Double Chicken Please,Double Chicken Please,
Trapizzino,Trapizzino,
Pig and Khao,Pig And Khao,
LĒNA,NF,
Potluck Club 佰樂,NF,
Mắm,NF,
Somm Time,NF,
Kisa,Kisa,
Gotham Burger Social Club,Gotham Burger Social Club,
Ginger and Lemongrass,Ginger And Lemongrass,
Beauty & Essex,NF,
Joey Roses Sandwich Shoppe,NF,
Datz Deli,NF,
Clinton Street Baking Company,NF,
Holy Cow,Holy Cow,
Dudleys,Dudleys,
Ernesto’s,NF,
BOHO's Kitchen,NF,
Sweet Chick,Sweet Chick,
Sen Saigon,NF,
Forget Me Not,NF,
Davelle,Davelle,
Las' Lap,NF,
Carlota,Carlota,
Delancey St Pizza,NF,
Patacon Pisao,Patacon Pisao,
Katz's Delicatessen,Katz'S Delicatessen,
Birria LES,NF,
Chinato,NF,
